group, axis, value, description
1 to 25,Teaching,82.34,
26 to 50,Teaching,66.45,
51 to 75,Teaching,54.43,
76 to 100,Teaching,45.49,
1 to 25,International,63.91,
26 to 50,International,57.90,
51 to 75,International,53.46,
76 to 100,International,50.20,
1 to 25,Research,88.29,
26 to 50,Research,69.36,
51 to 75,Research,52.25,
76 to 100,Research,45.66,
1 to 25,Citations,95.80,
26 to 50,Citations,81.90,
51 to 75,Citations,79.96,
76 to 100,Citations,77.70,
1 to 25,Income,64.69,
26 to 50,Income,53.12,
51 to 75,Income,60.12,
76 to 100,Income,45.15,
1 to 25,Total Score,86.36,
26 to 50,Total Score,70.97,
51 to 75,Total Score,61.50,
76 to 100,Total Score,55.46,
