group, axis, value, description
1 to 25,Teaching,80.82,
26 to 50,Teaching,64.68,
51 to 75,Teaching,52.80,
76 to 100,Teaching,47.22,
1 to 25,International,73.64,
26 to 50,International,64.63,
51 to 75,International,69.59,
76 to 100,International,65.30,
1 to 25,Research,88.92,
26 to 50,Research,74.05,
51 to 75,Research,60.98,
76 to 100,Research,50.63,
1 to 25,Citations,97.34,
26 to 50,Citations,85.05,
51 to 75,Citations,84.39,
76 to 100,Citations,81.55,
1 to 25,Income,59.41,
26 to 50,Income,64.14,
51 to 75,Income,60.34,
76 to 100,Income,54.36,
1 to 25,Total Score,87.12,
26 to 50,Total Score,73.58,
51 to 75,Total Score,66.19,
76 to 100,Total Score,60.04,
