Year,World Rank,Teaching,International,Research,Citations,Student-Staff Ratio,Total Score
2014,1,94.4,65.8,98.2,99.8,6.9,94.9
2014,2,95.3,66.2,98.5,99.1,8.9,93.9
2014,2,89,90.2,98.5,95.4,11.6,93.9
2014,4,94.7,68,96.8,99.1,7.8,93.8
2014,5,92.9,82,89,100,9,93
2014,6,89.9,59.6,97.6,99.7,8.4,92.7
2014,7,90.6,86.7,95.3,95.7,11.8,92.3
2014,8,83.2,57.3,97.5,99.3,16.4,89.8
2014,9,85.6,58.6,88.2,98,6.9,87.8
2014,10,84.5,91.8,88.1,90,11.7,87.5
2014,11,89.5,57.6,90.5,93.5,4.4,87.4
2014,12,84.8,46.4,91,95.6,10.3,86.3
2014,13,86.6,68,79.1,95.6,5.9,85.2
2014,14,77.6,96.7,88.2,85,14.7,84.5
2014,15,75.7,59.3,85.1,95,3.6,83.7
2014,16,79.8,40.6,81.2,95,6.5,81
2014,17,73.9,50,73,96.7,4.8,79.3
2014,18,70,49.5,86.2,90.8,9,79.2
2014,19,72.1,55.6,83.8,90.8,10.2,79.1
2014,20,73.6,70,81.5,84.5,19.5,78.3
2015,1,92.2,67,98.1,99.7,6.9,94.3
2015,2,92.9,67.6,98.6,98.9,8.9,93.3
2015,3,88.6,90.7,97.7,95.5,11.6,93.2
2015,4,91.5,69,96.7,99.1,7.8,92.9
2015,5,89.7,87.8,95.6,95.2,11.8,92
2015,6,89.1,84.3,88.2,100,9,91.9
2015,7,86.6,61.2,94.7,99.6,8.4,90.9
2015,8,84.2,58.5,96.7,99.1,16.4,89.5
2015,9,84.6,92.7,88.3,89.4,11.7,87.5
2015,9,88.5,59.8,90.8,94,4.4,87.5
2015,11,83.9,65.2,89.9,97.3,6.9,87.1
2015,12,82.4,49.2,90.5,95.3,10.3,85.5
2015,13,78.2,96.6,90.2,83.5,14.7,84.6
2015,14,83.9,68.3,79.4,95.3,5.9,84.4
2015,15,75.6,59.7,84.2,93.6,3.6,83
2015,16,79,43.8,82,94.4,6.5,81
2015,17,77,49.8,86.5,88.9,9,80.9
2015,18,73.5,50.5,75.2,96.6,4.8,79.9
2015,19,71.6,59,83.8,91.5,10.2,79.4
2015,20,74.4,71.2,85.1,83,19.5,79.3
2016,1,95.6,64,97.6,99.8,6.9,95.2
2016,2,86.5,94.4,98.9,98.8,11.6,94.2
2016,3,92.5,76.3,96.2,99.9,7.8,93.9
2016,4,88.2,91.5,96.7,97,11.8,92.8
2016,5,89.4,84,88.6,99.7,9,92
2016,6,83.6,77.2,99,99.8,8.9,91.6
2016,7,85.1,78.5,91.9,99.3,8.4,90.1
2016,8,83.3,96,88.5,96.7,11.7,89.1
2016,9,77,97.9,95,91.1,14.7,88.3
2016,10,85.7,65,88.9,99.2,6.9,87.9
2016,11,77.6,70,90.4,98.2,3.6,87.6
2016,12,86.5,64.3,87.8,97.2,4.4,87.4
2016,13,80.4,61.9,91.1,99.7,16.4,87.2
2016,14,78.1,94.4,91,94.2,10.7,87.1
2016,15,85.9,73.5,82.2,98.1,5.9,86.1
2016,16,80.8,56.4,88.6,98.5,10.3,85.8
2016,17,82,49.5,86.9,98.6,6.5,85.2
2016,18,77.9,63.9,86.1,97.2,10.2,84
2016,19,75.9,77.8,89.3,90.9,19.5,83.9
2016,20,76,56.5,78,99,4.8,82.7
