group, axis, value, description
1 to 25,Teaching,84.78,
26 to 50,Teaching,70.21,
51 to 75,Teaching,59.50,
76 to 100,Teaching,49.66,
1 to 25,International,61.24,
26 to 50,International,58.74,
51 to 75,International,54.66,
76 to 100,International,55.14,
1 to 25,Research,91.06,
26 to 50,Research,75.36,
51 to 75,Research,62.41,
76 to 100,Research,53.31,
1 to 25,Citations,95.16,
26 to 50,Citations,82.36,
51 to 75,Citations,76.28,
76 to 100,Citations,76.25,
1 to 25,Income,64.85,
26 to 50,Income,57.29,
51 to 75,Income,61.15,
76 to 100,Income,55.03,
1 to 25,Total Score,87.54,
26 to 50,Total Score,74.18,
51 to 75,Total Score,65.07,
76 to 100,Total Score,59.26,
